time,hs,swe_obs
2017-11-01,0.0,
2017-11-02,0.0,
2017-11-03,0.0,
2017-11-04,0.0,
2017-11-05,0.0,
2017-11-06,0.2,
2017-11-07,0.15,
2017-11-08,0.16,
2017-11-09,0.15,
2017-11-10,0.14,
2017-11-11,0.11,
2017-11-12,0.11,
2017-11-13,0.15,
2017-11-14,0.08,
2017-11-15,0.08,20.0
2017-11-16,0.08,
2017-11-17,0.08,
2017-11-18,0.07,
2017-11-19,0.07,
2017-11-20,0.09,
2017-11-21,0.08,
2017-11-22,0.08,
2017-11-23,0.07,
2017-11-24,0.07,
2017-11-25,0.06,
2017-11-26,0.13,
2017-11-27,0.13,
2017-11-28,0.12,
2017-11-29,0.17,
2017-11-30,0.18,
2017-12-01,0.16,42.0
2017-12-02,0.15,
2017-12-03,0.15,
2017-12-04,0.14,
2017-12-05,0.14,
2017-12-06,0.14,
2017-12-07,0.14,
2017-12-08,0.14,
2017-12-09,0.15,
2017-12-10,0.14,
2017-12-11,0.35,
2017-12-12,0.9,
2017-12-13,0.86,
2017-12-14,0.84,
2017-12-15,0.88,182.0
2017-12-16,0.85,
2017-12-17,0.83,
2017-12-18,0.8,
2017-12-19,0.8,
2017-12-20,0.8,
2017-12-21,0.78,
2017-12-22,0.78,
2017-12-23,0.77,
2017-12-24,0.76,
2017-12-25,0.75,
2017-12-26,0.74,
2017-12-27,0.96,
2017-12-28,1.21,
2017-12-29,1.15,
2017-12-30,1.1,248.0
2017-12-31,1.09,
2018-01-01,1.05,
2018-01-02,1.02,
2018-01-03,1.05,
2018-01-04,1.15,
2018-01-05,1.1,
2018-01-06,1.12,
2018-01-07,1.15,
2018-01-08,1.14,
2018-01-09,1.25,
2018-01-10,1.37,
2018-01-11,1.3,
2018-01-12,1.26,
2018-01-13,1.25,
2018-01-14,1.25,
2018-01-15,1.2,
2018-01-16,1.19,326.0
2018-01-17,1.24,
2018-01-18,1.28,
2018-01-19,1.25,
2018-01-20,1.23,
2018-01-21,1.51,
2018-01-22,1.56,
2018-01-23,1.47,
2018-01-24,1.41,
2018-01-25,1.4,
2018-01-26,1.4,
2018-01-27,1.45,
2018-01-28,1.39,
2018-01-29,1.37,
2018-01-30,1.34,
2018-01-31,1.32,374.0
2018-02-01,1.38,
2018-02-02,1.64,
2018-02-03,1.57,
2018-02-04,1.54,
2018-02-05,1.55,
2018-02-06,1.51,
2018-02-07,1.51,
2018-02-08,1.47,
2018-02-09,1.46,
2018-02-10,1.44,
2018-02-11,1.42,
2018-02-12,1.41,
2018-02-13,1.39,
2018-02-14,1.39,
2018-02-15,1.38,419.0
2018-02-16,1.37,
2018-02-17,1.34,
2018-02-18,1.34,
2018-02-19,1.33,
2018-02-20,1.33,
2018-02-21,1.3,
2018-02-22,1.3,
2018-02-23,1.3,
2018-02-24,1.3,
2018-02-25,1.29,
2018-02-26,1.29,
2018-02-27,1.29,
2018-02-28,1.29,416.0
2018-03-01,1.34,
2018-03-02,1.34,
2018-03-03,1.34,
2018-03-04,1.34,
2018-03-05,1.33,
2018-03-06,1.32,
2018-03-07,1.31,
2018-03-08,1.43,
2018-03-09,1.4,
2018-03-10,1.36,
2018-03-11,1.39,
2018-03-12,1.55,
2018-03-13,1.48,
2018-03-14,1.46,
2018-03-15,1.44,482.0
2018-03-16,1.54,
2018-03-17,1.45,
2018-03-18,1.67,
2018-03-19,1.62,
2018-03-20,1.56,
2018-03-21,1.52,
2018-03-22,1.51,
2018-03-23,1.49,
2018-03-24,1.48,
2018-03-25,1.46,
2018-03-26,1.45,
2018-03-27,1.45,
2018-03-28,1.45,
2018-03-29,1.4,
2018-03-30,1.53,
2018-03-31,1.86,
2018-04-01,1.75,
2018-04-02,1.67,
2018-04-03,1.65,567.0
2018-04-04,1.65,
2018-04-05,1.8,
2018-04-06,1.6,
2018-04-07,1.55,
2018-04-08,1.48,
2018-04-09,1.37,
2018-04-10,1.35,
2018-04-11,1.46,
2018-04-12,1.55,
2018-04-13,1.85,
2018-04-14,1.65,
2018-04-15,1.53,
2018-04-16,1.45,616.0
2018-04-17,1.37,
2018-04-18,1.3,
2018-04-19,1.27,
2018-04-20,1.21,
2018-04-21,1.11,
2018-04-22,1.05,
2018-04-23,0.95,
2018-04-24,0.88,
2018-04-25,0.79,
2018-04-26,0.7,
2018-04-27,0.6,
2018-04-28,0.58,
2018-04-29,0.46,
2018-04-30,0.42,203.0
