time,hs,swe_obs
2021-11-01,0.0,
2021-11-02,0.0,
2021-11-03,0.0,
2021-11-04,0.13,
2021-11-05,0.1,
2021-11-06,0.09,
2021-11-07,0.08,
2021-11-08,0.07,
2021-11-09,0.07,
2021-11-10,0.05,
2021-11-11,0.0,
2021-11-12,0.0,
2021-11-13,0.0,
2021-11-14,0.0,
2021-11-15,0.0,
2021-11-16,0.0,
2021-11-17,0.0,
2021-11-18,0.0,
2021-11-19,0.0,
2021-11-20,0.0,
2021-11-21,0.0,
2021-11-22,0.0,
2021-11-23,0.0,
2021-11-24,0.0,
2021-11-25,0.0,
2021-11-26,0.01,
2021-11-27,0.02,
2021-11-28,0.15,
2021-11-29,0.24,
2021-11-30,0.25,
2021-12-01,0.24,
2021-12-02,0.24,
2021-12-03,0.26,
2021-12-04,0.45,
2021-12-05,0.52,
2021-12-06,0.5,
2021-12-07,0.54,
2021-12-08,0.5,
2021-12-09,0.64,
2021-12-10,0.6,
2021-12-11,0.69,
2021-12-12,0.68,
2021-12-13,0.65,
2021-12-14,0.62,
2021-12-15,0.58,100.0
2021-12-16,0.56,
2021-12-17,0.54,
2021-12-18,0.53,
2021-12-19,0.51,
2021-12-20,0.5,
2021-12-21,0.5,
2021-12-22,0.5,
2021-12-23,0.5,
2021-12-24,0.5,
2021-12-25,0.5,
2021-12-26,0.49,
2021-12-27,0.49,
2021-12-28,0.58,
2021-12-29,0.62,
2021-12-30,0.78,
2021-12-31,0.72,154.0
2022-01-01,0.7,
2022-01-02,0.69,
2022-01-03,0.69,
2022-01-04,0.68,
2022-01-05,0.74,
2022-01-06,0.68,
2022-01-07,0.67,
2022-01-08,0.72,
2022-01-09,0.85,
2022-01-10,0.95,
2022-01-11,0.89,
2022-01-12,0.87,
2022-01-13,0.86,
2022-01-14,0.84,
2022-01-15,0.83,186.0
2022-01-16,0.82,
2022-01-17,0.81,
2022-01-18,0.81,
2022-01-19,0.8,
2022-01-20,0.83,
2022-01-21,0.82,
2022-01-22,0.8,
2022-01-23,0.8,
2022-01-24,0.8,
2022-01-25,0.79,
2022-01-26,0.79,
2022-01-27,0.79,
2022-01-28,0.79,
2022-01-29,0.78,
2022-01-30,0.78,
2022-01-31,0.78,
2022-02-01,0.9,
2022-02-02,1.05,
2022-02-03,1.05,
2022-02-04,1.03,
2022-02-05,1.02,
2022-02-06,1.01,
2022-02-07,1.3,
2022-02-08,1.2,
2022-02-09,1.19,
2022-02-10,1.18,
2022-02-11,1.15,
2022-02-12,1.12,
2022-02-13,1.11,
2022-02-14,1.1,
2022-02-15,1.13,
2022-02-16,1.15,285.0
2022-02-17,1.17,
2022-02-18,1.11,
2022-02-19,1.08,
2022-02-20,1.06,
2022-02-21,1.07,
2022-02-22,1.22,
2022-02-23,1.17,
2022-02-24,1.15,
2022-02-25,1.12,
2022-02-26,1.12,
2022-02-27,1.1,
2022-02-28,1.1,307.0
2022-03-01,1.09,
2022-03-02,1.08,
2022-03-03,1.08,
2022-03-04,1.07,
2022-03-05,1.06,
2022-03-06,1.05,
2022-03-07,1.05,
2022-03-08,1.04,
2022-03-09,1.04,
2022-03-10,1.03,
2022-03-11,1.01,
2022-03-12,1.01,
2022-03-13,1.01,
2022-03-14,0.98,
2022-03-15,0.96,278.0
2022-03-16,0.95,
2022-03-17,0.91,
2022-03-18,0.87,
2022-03-19,0.8,
2022-03-20,0.76,
2022-03-21,0.7,
2022-03-22,0.69,
2022-03-23,0.67,
2022-03-24,0.64,
2022-03-25,0.62,
2022-03-26,0.58,
2022-03-27,0.55,
2022-03-28,0.52,
2022-03-29,0.48,
2022-03-30,0.45,
2022-03-31,0.42,180.0
2022-04-01,0.4,
2022-04-02,0.41,
2022-04-03,0.38,
2022-04-04,0.36,
2022-04-05,0.32,
2022-04-06,0.26,
2022-04-07,0.2,
2022-04-08,0.2,
2022-04-09,0.15,
2022-04-10,0.15,
2022-04-11,0.12,
2022-04-12,0.06,
2022-04-13,0.0,
2022-04-14,0.0,
2022-04-15,0.0,
2022-04-16,0.0,
2022-04-17,0.0,
2022-04-18,0.0,
2022-04-19,0.0,
2022-04-20,0.0,
2022-04-21,0.0,
2022-04-22,0.0,
2022-04-23,0.0,
2022-04-24,0.02,
2022-04-25,0.0,
2022-04-26,0.0,
2022-04-27,0.0,
2022-04-28,0.0,
2022-04-29,0.0,
2022-04-30,0.0,
