time,hs,swe_obs
2020-11-01,0.0,
2020-11-02,0.0,
2020-11-03,0.0,
2020-11-04,0.0,
2020-11-05,0.0,
2020-11-06,0.0,
2020-11-07,0.0,
2020-11-08,0.0,
2020-11-09,0.0,
2020-11-10,0.0,
2020-11-11,0.0,
2020-11-12,0.0,
2020-11-13,0.0,
2020-11-14,0.0,
2020-11-15,0.0,
2020-11-16,0.0,
2020-11-17,0.0,
2020-11-18,0.0,
2020-11-19,0.0,
2020-11-20,0.0,
2020-11-21,0.0,
2020-11-22,0.0,
2020-11-23,0.0,
2020-11-24,0.0,
2020-11-25,0.0,
2020-11-26,0.0,
2020-11-27,0.0,
2020-11-28,0.0,
2020-11-29,0.0,
2020-11-30,0.0,
2020-12-01,0.0,
2020-12-02,0.09,
2020-12-03,0.09,
2020-12-04,0.08,
2020-12-05,0.15,
2020-12-06,0.25,
2020-12-07,0.28,
2020-12-08,0.27,
2020-12-09,0.26,
2020-12-10,0.25,
2020-12-11,0.24,
2020-12-12,0.25,
2020-12-13,0.37,
2020-12-14,0.31,
2020-12-15,0.25,
2020-12-16,0.21,
2020-12-17,0.2,
2020-12-18,0.2,
2020-12-19,0.19,
2020-12-20,0.18,
2020-12-21,0.18,
2020-12-22,0.17,
2020-12-23,0.16,
2020-12-24,0.11,
2020-12-25,0.13,
2020-12-26,0.12,
2020-12-27,0.11,
2020-12-28,0.11,
2020-12-29,0.14,
2020-12-30,0.16,
2020-12-31,0.15,
2021-01-01,0.14,
2021-01-02,0.14,
2021-01-03,0.16,
2021-01-04,0.15,
2021-01-05,0.15,43.0
2021-01-06,0.15,
2021-01-07,0.15,
2021-01-08,0.15,
2021-01-09,0.15,
2021-01-10,0.15,
2021-01-11,0.15,
2021-01-12,0.15,
2021-01-13,0.48,
2021-01-14,0.63,
2021-01-15,0.76,
2021-01-16,0.71,121.0
2021-01-17,0.78,
2021-01-18,0.77,
2021-01-19,0.74,
2021-01-20,0.68,
2021-01-21,0.64,
2021-01-22,0.66,
2021-01-23,0.65,
2021-01-24,0.74,
2021-01-25,0.88,
2021-01-26,0.87,
2021-01-27,0.83,
2021-01-28,1.17,
2021-01-29,0.85,
2021-01-30,1.05,
2021-01-31,1.08,249.0
2021-02-01,1.04,
2021-02-02,1.17,
2021-02-03,0.97,
2021-02-04,0.85,
2021-02-05,0.84,
2021-02-06,0.82,
2021-02-07,0.78,
2021-02-08,0.78,
2021-02-09,0.78,
2021-02-10,0.78,
2021-02-11,0.85,
2021-02-12,0.85,
2021-02-13,0.88,
2021-02-14,0.84,267.0
2021-02-15,0.82,
2021-02-16,0.8,
2021-02-17,0.77,
2021-02-18,0.73,
2021-02-19,0.71,
2021-02-20,0.69,
2021-02-21,0.65,
2021-02-22,0.63,
2021-02-23,0.61,
2021-02-24,0.59,
2021-02-25,0.54,
2021-02-26,0.52,
2021-02-27,0.49,
2021-02-28,0.48,
2021-03-01,0.45,184.0
2021-03-02,0.44,
2021-03-03,0.43,
2021-03-04,0.41,
2021-03-05,0.39,
2021-03-06,0.38,
2021-03-07,0.37,
2021-03-08,0.36,
2021-03-09,0.37,
2021-03-10,0.35,
2021-03-11,0.34,
2021-03-12,0.31,
2021-03-13,0.3,
2021-03-14,0.45,138.0
2021-03-15,0.56,
2021-03-16,0.85,
2021-03-17,0.76,
2021-03-18,0.68,
2021-03-19,0.64,
2021-03-20,0.58,
2021-03-21,0.55,
2021-03-22,0.51,
2021-03-23,0.48,
2021-03-24,0.46,
2021-03-25,0.4,
2021-03-26,0.35,
2021-03-27,0.3,
2021-03-28,0.25,
2021-03-29,0.19,
2021-03-30,0.14,
2021-03-31,0.1,
2021-04-01,0.05,
2021-04-02,0.0,
2021-04-03,0.0,
2021-04-04,0.0,
2021-04-05,0.0,
2021-04-06,0.0,
2021-04-07,0.0,
2021-04-08,0.0,
2021-04-09,0.0,
2021-04-10,0.0,
2021-04-11,0.0,
2021-04-12,0.0,
2021-04-13,0.0,
2021-04-14,0.0,
2021-04-15,0.0,
2021-04-16,0.0,
2021-04-17,0.0,
2021-04-18,0.0,
2021-04-19,0.0,
2021-04-20,0.0,
2021-04-21,0.0,
2021-04-22,0.0,
2021-04-23,0.0,
2021-04-24,0.0,
2021-04-25,0.0,
2021-04-26,0.0,
2021-04-27,0.0,
2021-04-28,0.0,
2021-04-29,0.0,
2021-04-30,0.0,
