time,hs,swe_obs
2020-11-01,0.0,
2020-11-02,0.0,
2020-11-03,0.0,
2020-11-04,0.0,
2020-11-05,0.0,
2020-11-06,0.0,
2020-11-07,0.0,
2020-11-08,0.0,
2020-11-09,0.0,
2020-11-10,0.0,
2020-11-11,0.0,
2020-11-12,0.0,
2020-11-13,0.0,
2020-11-14,0.0,
2020-11-15,0.0,
2020-11-16,0.0,
2020-11-17,0.0,
2020-11-18,0.0,
2020-11-19,0.0,
2020-11-20,0.05,
2020-11-21,0.033,
2020-11-22,0.026,
2020-11-23,0.023,
2020-11-24,0.02,
2020-11-25,0.01,
2020-11-26,0.01,
2020-11-27,0.0,
2020-11-28,0.0,
2020-11-29,0.0,
2020-11-30,0.0,
2020-12-01,0.05,
2020-12-02,0.13,
2020-12-03,0.14,
2020-12-04,0.1,
2020-12-05,0.17,
2020-12-06,0.23,
2020-12-07,0.25,
2020-12-08,0.26,
2020-12-09,0.29,
2020-12-10,0.33,
2020-12-11,0.3,
2020-12-12,0.29,
2020-12-13,0.27,
2020-12-14,0.27,
2020-12-15,0.26,57.0
2020-12-16,0.25,
2020-12-17,0.25,
2020-12-18,0.25,
2020-12-19,0.25,
2020-12-20,0.23,
2020-12-21,0.23,
2020-12-22,0.23,
2020-12-23,0.22,
2020-12-24,0.22,
2020-12-25,0.35,
2020-12-26,0.33,
2020-12-27,0.32,
2020-12-28,0.29,
2020-12-29,0.34,
2020-12-30,0.36,
2020-12-31,0.35,75.0
2021-01-01,0.35,
2021-01-02,0.33,
2021-01-03,0.32,
2021-01-04,0.31,
2021-01-05,0.31,
2021-01-06,0.3,
2021-01-07,0.3,
2021-01-08,0.3,
2021-01-09,0.3,
2021-01-10,0.3,
2021-01-11,0.3,
2021-01-12,0.3,
2021-01-13,0.41,
2021-01-14,0.53,115.0
2021-01-15,0.58,
2021-01-16,0.66,
2021-01-17,0.72,
2021-01-18,0.81,
2021-01-19,0.76,
2021-01-20,0.69,
2021-01-21,0.63,
2021-01-22,0.58,
2021-01-23,0.61,
2021-01-24,0.69,
2021-01-25,0.93,
2021-01-26,0.99,
2021-01-27,0.93,
2021-01-28,0.89,
2021-01-29,0.79,210.0
2021-01-30,0.73,
2021-01-31,0.742,
2021-02-01,0.75,
2021-02-02,0.73,
2021-02-03,0.71,
2021-02-04,0.69,
2021-02-05,0.69,
2021-02-06,0.68,
2021-02-07,0.67,
2021-02-08,0.7,
2021-02-09,0.7,
2021-02-10,0.71,
2021-02-11,0.69,
2021-02-12,0.68,
2021-02-13,0.7,
2021-02-14,0.69,
2021-02-15,0.69,
2021-02-16,0.69,205.0
2021-02-17,0.68,
2021-02-18,0.68,
2021-02-19,0.677,
2021-02-20,0.67,
2021-02-21,0.67,
2021-02-22,0.67,
2021-02-23,0.65,
2021-02-24,0.65,
2021-02-25,0.65,
2021-02-26,0.65,
2021-02-27,0.65,
2021-02-28,0.64,
2021-03-01,0.64,205.0
2021-03-02,0.63,
2021-03-03,0.63,
2021-03-04,0.63,
2021-03-05,0.62,
2021-03-06,0.62,
2021-03-07,0.61,
2021-03-08,0.62,
2021-03-09,0.63,
2021-03-10,0.62,
2021-03-11,0.61,
2021-03-12,0.57,
2021-03-13,0.57,
2021-03-14,0.65,
2021-03-15,1.05,
2021-03-16,1.27,280.0
2021-03-17,1.19,
2021-03-18,1.18,
2021-03-19,1.11,
2021-03-20,1.06,
2021-03-21,1.03,
2021-03-22,0.99,
2021-03-23,0.96,
2021-03-24,0.9,
2021-03-25,0.85,
2021-03-26,0.8,
2021-03-27,0.77,
2021-03-28,0.74,
2021-03-29,0.71,290.0
2021-03-30,0.68,
2021-03-31,0.63,
2021-04-01,0.61,
2021-04-02,0.58,
2021-04-03,0.55,
2021-04-04,0.54,
2021-04-05,0.52,
2021-04-06,0.46,
2021-04-07,0.47,
2021-04-08,0.44,
2021-04-09,0.4,
2021-04-10,0.38,
2021-04-11,0.34,
2021-04-12,0.25,
2021-04-13,0.23,
2021-04-14,0.18,
2021-04-15,0.16,60.0
2021-04-16,0.15,
2021-04-17,0.13,
2021-04-18,0.087,
2021-04-19,0.05,
2021-04-20,0.03,
2021-04-21,0.0,
2021-04-22,0.0,
2021-04-23,0.0,
2021-04-24,0.0,
2021-04-25,0.0,
2021-04-26,0.0,
2021-04-27,0.0,
2021-04-28,0.0,
2021-04-29,0.0,
2021-04-30,0.0,
