time,hs,swe_obs
2000-11-01,0.0,
2000-11-02,0.0,
2000-11-03,0.0,
2000-11-04,0.0,
2000-11-05,0.0,
2000-11-06,0.0,
2000-11-07,0.0,
2000-11-08,0.0,
2000-11-09,0.0,
2000-11-10,0.0,
2000-11-11,0.0,
2000-11-12,0.0,
2000-11-13,0.0,
2000-11-14,0.0,
2000-11-15,0.0,
2000-11-16,0.0,
2000-11-17,0.0,
2000-11-18,0.0,
2000-11-19,0.0,
2000-11-20,0.0,
2000-11-21,0.0,
2000-11-22,0.0,
2000-11-23,0.0,
2000-11-24,0.0,
2000-11-25,0.0,
2000-11-26,0.0,
2000-11-27,0.0,
2000-11-28,0.0,
2000-11-29,0.0,
2000-11-30,0.0,
2000-12-01,0.0,
2000-12-02,0.0,
2000-12-03,0.0,
2000-12-04,0.0,
2000-12-05,0.0,
2000-12-06,0.0,
2000-12-07,0.0,
2000-12-08,0.0,
2000-12-09,0.0,
2000-12-10,0.0,
2000-12-11,0.0,
2000-12-12,0.0,
2000-12-13,0.0,
2000-12-14,0.0,
2000-12-15,0.0,
2000-12-16,0.02,
2000-12-17,0.12,
2000-12-18,0.15,
2000-12-19,0.25,
2000-12-20,0.24,
2000-12-21,0.23,
2000-12-22,0.22,
2000-12-23,0.2,
2000-12-24,0.2,
2000-12-25,0.2,38.0
2000-12-26,0.2,
2000-12-27,0.2,
2000-12-28,0.18,
2000-12-29,0.2,
2000-12-30,0.38,
2000-12-31,0.35,
2001-01-01,0.34,51.0
2001-01-02,0.3,
2001-01-03,0.25,
2001-01-04,0.2,
2001-01-05,0.2,
2001-01-06,0.2,
2001-01-07,0.18,
2001-01-08,0.18,38.0
2001-01-09,0.3,
2001-01-10,0.25,
2001-01-11,0.2,
2001-01-12,0.18,
2001-01-13,0.16,
2001-01-14,0.16,
2001-01-15,0.15,38.0
2001-01-16,0.15,
2001-01-17,0.15,
2001-01-18,0.15,
2001-01-19,0.15,
2001-01-20,0.15,
2001-01-21,0.15,
2001-01-22,0.15,38.0
2001-01-23,0.15,
2001-01-24,0.15,
2001-01-25,0.14,
2001-01-26,0.13,
2001-01-27,0.13,
2001-01-28,0.13,
2001-01-29,0.13,
2001-01-30,0.13,
2001-01-31,0.18,
2001-02-01,0.27,
2001-02-02,0.45,
2001-02-03,0.63,
2001-02-04,0.8,
2001-02-05,0.6,102.0
2001-02-06,0.5,
2001-02-07,0.45,
2001-02-08,0.42,
2001-02-09,0.4,
2001-02-10,0.38,
2001-02-11,0.37,
2001-02-12,0.35,102.0
2001-02-13,0.35,
2001-02-14,0.32,
2001-02-15,0.3,
2001-02-16,0.3,
2001-02-17,0.25,
2001-02-18,0.23,
2001-02-19,0.2,89.0
2001-02-20,0.25,
2001-02-21,0.35,
2001-02-22,0.3,
2001-02-23,0.36,
2001-02-24,0.6,
2001-02-25,0.5,
2001-02-26,0.5,127.0
2001-02-27,0.45,
2001-02-28,0.45,
2001-03-01,0.4,
2001-03-02,0.43,
2001-03-03,0.4,
2001-03-04,0.37,
2001-03-05,0.3,102.0
2001-03-06,0.28,
2001-03-07,0.25,
2001-03-08,0.2,
2001-03-09,0.2,
2001-03-10,0.15,
2001-03-11,0.12,
2001-03-12,0.1,
2001-03-13,0.05,
2001-03-14,0.0,
2001-03-15,0.0,
2001-03-16,0.0,
2001-03-17,0.0,
2001-03-18,0.0,
2001-03-19,0.0,
2001-03-20,0.0,
2001-03-21,0.0,
2001-03-22,0.0,
2001-03-23,0.0,
2001-03-24,0.0,
2001-03-25,0.0,
2001-03-26,0.0,
2001-03-27,0.0,
2001-03-28,0.0,
2001-03-29,0.0,
2001-03-30,0.0,
2001-03-31,0.0,
2001-04-01,0.0,
2001-04-02,0.0,
2001-04-03,0.0,
2001-04-04,0.0,
2001-04-05,0.0,
2001-04-06,0.0,
2001-04-07,0.0,
2001-04-08,0.0,
2001-04-09,0.0,
2001-04-10,0.0,
2001-04-11,0.0,
2001-04-12,0.0,
2001-04-13,0.0,
2001-04-14,0.15,
2001-04-15,0.05,
2001-04-16,0.1,
2001-04-17,0.0,
2001-04-18,0.0,
2001-04-19,0.0,
2001-04-20,0.0,
2001-04-21,0.0,
2001-04-22,0.0,
2001-04-23,0.0,
2001-04-24,0.0,
2001-04-25,0.0,
2001-04-26,0.0,
2001-04-27,0.0,
2001-04-28,0.0,
2001-04-29,0.0,
2001-04-30,0.0,
